doc_topic_prior,max_df,max_tf,min_df,min_tf,n_topics,topic_word_prior,score
121,0.14285714285714285,0.5,561.0,5,10,7,0.14285714285714285,0.23578586102028828
122,0.14285714285714285,0.5,561.0,5,10,7,0.5,0.29466809205634104
123,0.14285714285714285,0.5,561.0,5,30,7,0.014285714285714285,0.2523368570554258
124,0.14285714285714285,0.5,561.0,5,30,7,0.14285714285714285,0.337989750300159
125,0.14285714285714285,0.5,561.0,5,30,7,0.5,0.28471198925511526
126,0.14285714285714285,0.5,561.0,10,2,7,0.014285714285714285,0.23644235737954908
127,0.14285714285714285,0.5,561.0,10,2,7,0.14285714285714285,0.2914669713959432
128,0.14285714285714285,0.5,561.0,10,2,7,0.5,0.3565322061698225
129,0.14285714285714285,0.5,561.0,10,10,7,0.014285714285714285,0.19636618524494023
130,0.14285714285714285,0.5,561.0,10,10,7,0.14285714285714285,0.26113361518492223
131,0.14285714285714285,0.5,561.0,10,10,7,0.5,0.26874071020596146
132,0.14285714285714285,0.5,561.0,10,30,7,0.014285714285714285,0.2313231306463505
133,0.14285714285714285,0.5,561.0,10,30,7,0.14285714285714285,0.2442499999309696
134,0.14285714285714285,0.5,561.0,10,30,7,0.5,0.3153776982768137
135,0.14285714285714285,0.5,400.0,2,2,7,0.014285714285714285,0.2739323405608382
136,0.14285714285714285,0.5,400.0,2,2,7,0.14285714285714285,0.1587477064179665
137,0.14285714285714285,0.5,400.0,2,2,7,0.5,0.17569516147943548
138,0.14285714285714285,0.5,400.0,2,10,7,0.014285714285714285,0.2437082856966426
139,0.14285714285714285,0.5,400.0,2,10,7,0.14285714285714285,0.2287575147666768
140,0.14285714285714285,0.5,400.0,2,10,7,0.5,0.2102979888925482
141,0.14285714285714285,0.5,400.0,2,30,7,0.014285714285714285,0.321281558593891
142,0.14285714285714285,0.5,400.0,2,30,7,0.14285714285714285,0.24311383940460665
143,0.14285714285714285,0.5,400.0,2,30,7,0.5,0.37222718525971676
144,0.14285714285714285,0.5,400.0,5,2,7,0.014285714285714285,0.23842159225997714
145,0.14285714285714285,0.5,400.0,5,2,7,0.14285714285714285,0.3599705934933798
146,0.14285714285714285,0.5,400.0,5,2,7,0.5,0.19208876299875424
147,0.14285714285714285,0.5,400.0,5,10,7,0.014285714285714285,0.24391272786678264
148,0.14285714285714285,0.5,400.0,5,10,7,0.14285714285714285,0.34486353737024406
149,0.14285714285714285,0.5,400.0,5,10,7,0.5,0.3271538853012972
150,0.14285714285714285,0.5,400.0,5,30,7,0.014285714285714285,0.29463024849828984
151,0.14285714285714285,0.5,400.0,5,30,7,0.14285714285714285,0.20709092380442556
152,0.14285714285714285,0.5,400.0,5,30,7,0.5,0.31019187401181775
153,0.14285714285714285,0.5,400.0,10,2,7,0.014285714285714285,0.23817549824295686
154,0.14285714285714285,0.5,400.0,10,2,7,0.14285714285714285,0.21369854142804645
155,0.14285714285714285,0.5,400.0,10,2,7,0.5,0.28665940056663786
156,0.14285714285714285,0.5,400.0,10,10,7,0.014285714285714285,0.22437939251115938
157,0.14285714285714285,0.5,400.0,10,10,7,0.14285714285714285,0.20544281363421474
158,0.14285714285714285,0.5,400.0,10,10,7,0.5,0.3169396988778914
159,0.14285714285714285,0.5,400.0,10,30,7,0.014285714285714285,0.2097054340677677
160,0.14285714285714285,0.5,400.0,10,30,7,0.14285714285714285,0.28786836003912153
161,0.14285714285714285,0.5,400.0,10,30,7,0.5,0.30719186415835
162,0.14285714285714285,0.95,561.0,2,2,7,0.014285714285714285,0.19847550858100096
163,0.14285714285714285,0.95,561.0,2,2,7,0.14285714285714285,0.18422267411032184
164,0.14285714285714285,0.95,561.0,2,2,7,0.5,0.1871846263237034
165,0.14285714285714285,0.95,561.0,2,10,7,0.014285714285714285,0.27971750586649535
